temperatura_C,umidade_percentual,velocidade_percentual,conjunto
24.306539329788706,57.057394781840124,33.7445994786672,treino
22.55178921959096,35.11473533018862,25.140394258240704,treino
15.041517691870013,37.198982009648674,14.175617520436521,treino
21.870626268876677,31.335909917474183,21.308953906946254,treino
31.253125388969924,88.31282782575275,74.26486680641209,treino
18.359172832826538,81.3674697126192,30.970968812063617,treino
34.84205376399932,46.00802458844531,54.726362070407134,treino
22.015285903341397,72.30888601344489,39.61204163786921,treino
27.92548717123573,38.40099325118479,36.15277947275752,treino
38.96398033103613,52.284622008630166,65.9571719199715,treino
15.414495047438923,50.86738422586257,12.192367911120034,treino
22.33984394416709,58.11838814289377,32.73068480100214,treino
31.882640716687103,48.23480822743898,53.22951927699459,treino
37.921210190729894,45.82919873102415,55.14988533249056,treino
37.40305206059076,37.18962271666162,49.10563742924851,treino
28.05030753416281,23.845449243836846,27.050478377677685,treino
16.086876550319797,45.10709540695379,13.916998781212367,treino
26.691006415664912,72.4421910120873,53.13497848410553,treino
18.761350288936853,31.839429516799903,17.81341886031707,treino
38.72144816788351,79.65017359484273,86.22502056948454,treino
25.844475683064825,39.096303110208495,35.252000370688094,treino
19.115195439550455,55.29250230735697,27.428419882922892,treino
21.763373522754392,86.31238570107232,38.340275374443834,treino
39.88661181459093,53.488344826067454,67.73774864744259,treino
32.356560891072164,73.05372231130023,68.02577044223315,treino
35.10902289032427,26.940987941917005,41.305860512827905,treino
32.49267834526874,43.52909779705616,46.066881612879534,treino
23.534676684543193,38.05258064034559,30.724560157758404,treino
16.12932792473566,79.4154479195262,24.17472230578629,treino
36.2833662350551,85.07010408970551,85.89920811200194,treino
38.65067657043326,49.7485569966271,60.35714951665662,treino
17.068249998060963,67.05851018564114,23.733929662551713,treino
27.242493545422647,56.32402497409589,42.38946641194656,treino
27.818481115168957,66.37707160563399,49.69244387989428,treino
34.06330367676631,26.776710451348002,39.45183256461503,treino
19.91086664286433,40.23585071467342,20.10245324911164,treino
